Spieler,Session-ID,Spieldatum,Startzeit,Endzeit,Spieldauer(Sek),Gesamtrunden,Erfolgreiche,Erfolglose,Erfolgsrate(%),Gefundene_Paare,Abgeschlossen,Erfasst_am
"test3","session_1768580225429_x9msh57t3","16.1.2026","17:17:05","17:25:53",527,170,32,138,18.82,32,"Ja","2026-01-16 17:25:53"
"Benjamin 1","session_1768583320320_8le735tl6","16.1.2026","18:08:40","18:17:20",520,114,32,82,28.07,32,"Ja","2026-01-16 18:17:20"
"Benjamin 2","session_1768584319903_1yno4y8lu","16.1.2026","18:25:19","18:29:07",227,109,32,77,29.36,32,"Ja","2026-01-16 18:29:07"
"Benjamin 3","session_1768584562840_knfq7uj22","16.1.2026","18:29:22","18:32:57",215,102,32,70,31.37,32,"Ja","2026-01-16 18:32:57"
"Benjamin 4","session_1768585025953_hj1x6x7ft","16.1.2026","18:37:05","18:40:52",227,107,32,75,29.91,32,"Ja","2026-01-16 18:40:52"
"Benjamin 5","session_1768585357210_53775da0a","16.1.2026","18:42:37","18:47:04",267,118,32,86,27.12,32,"Ja","2026-01-16 18:47:04"
"Benjamin 5","session_1768585806090_ldw2kmb5k","16.1.2026","18:50:06","18:54:05",238,117,32,85,27.35,32,"Ja","2026-01-16 18:54:04"
"Tag2 Benjamin","session_1768687372249_3r2tlfdhl","17.1.2026","23:02:52","23:06:34",222,95,32,63,33.68,32,"Ja","2026-01-17 23:06:33"
